Continent,Country,Month,Seasons,State,Way In,Year,Count,GDP,Population
Europe,Austria,January,Winter,Amazos,Land,2009,4,30000,8192880
Europe,Denmark,January,Winter,Amazos,Land,2009,2,31100,5450661
Europe,Switzerland,January,Winter,Amazos,Land,2009,15,32700,7523934
Europe,Norway,January,Winter,Amazos,Land,2009,0,37800,4610820
Europe,Russia,January,Winter,Mato Grosso do Sul,Land,2009,0,8900,142893540
Europe,Poland,January,Winter,Mato Grosso do Sul,Land,2009,0,11100,38536869
Europe,Hungary,January,Winter,Mato Grosso do Sul,Land,2009,0,13900,9981334
Europe,Czech Republic,January,Winter,Mato Grosso do Sul,Land,2009,0,15700,10235455
Europe,Portugal,January,Winter,Mato Grosso do Sul,Land,2009,0,18000,10605870
Europe,Greece,January,Winter,Mato Grosso do Sul,Land,2009,0,20000,10688058
Europe,Spain,January,Winter,Mato Grosso do Sul,Land,2009,11,22000,40397842
Europe,Italy,January,Winter,Mato Grosso do Sul,Land,2009,11,26700,58133509
Europe,Sweden,January,Winter,Mato Grosso do Sul,Land,2009,0,26800,9016596
Europe,Finland,January,Winter,Mato Grosso do Sul,Land,2009,0,27400,5231372
Europe,France,January,Winter,Mato Grosso do Sul,Land,2009,11,27600,60876136
Europe,Germany,January,Winter,Mato Grosso do Sul,Land,2009,22,27600,82422299
Europe,United Kingdom,January,Winter,Mato Grosso do Sul,Land,2009,5,27700,60609153
Europe,Netherlands,January,Winter,Mato Grosso do Sul,Land,2009,5,28600,16491461
Europe,Belgium,January,Winter,Mato Grosso do Sul,Land,2009,0,29100,10379067
Europe,Ireland,January,Winter,Mato Grosso do Sul,Land,2009,16,29600,4062235
Europe,Austria,January,Winter,Mato Grosso do Sul,Land,2009,5,30000,8192880
Europe,Denmark,January,Winter,Mato Grosso do Sul,Land,2009,5,31100,5450661
Europe,Switzerland,January,Winter,Mato Grosso do Sul,Land,2009,33,32700,7523934
Europe,Norway,January,Winter,Mato Grosso do Sul,Land,2009,0,37800,4610820
Europe,Russia,January,Winter,Other Units of the Federation,Land,2009,0,8900,142893540
Europe,Poland,January,Winter,Other Units of the Federation,Land,2009,7,11100,38536869
Europe,Hungary,January,Winter,Other Units of the Federation,Land,2009,0,13900,9981334
Europe,Czech Republic,January,Winter,Other Units of the Federation,Land,2009,0,15700,10235455
Europe,Portugal,January,Winter,Other Units of the Federation,Land,2009,5,18000,10605870
Europe,Greece,January,Winter,Other Units of the Federation,Land,2009,0,20000,10688058
Europe,Spain,January,Winter,Other Units of the Federation,Land,2009,54,22000,40397842
Europe,Italy,January,Winter,Other Units of the Federation,Land,2009,20,26700,58133509
Europe,Sweden,January,Winter,Other Units of the Federation,Land,2009,7,26800,9016596
Europe,Finland,January,Winter,Other Units of the Federation,Land,2009,0,27400,5231372
Europe,France,January,Winter,Other Units of the Federation,Land,2009,32,27600,60876136
Europe,Germany,January,Winter,Other Units of the Federation,Land,2009,37,27600,82422299
Europe,United Kingdom,January,Winter,Other Units of the Federation,Land,2009,47,27700,60609153
Europe,Netherlands,January,Winter,Other Units of the Federation,Land,2009,27,28600,16491461
Europe,Belgium,January,Winter,Other Units of the Federation,Land,2009,0,29100,10379067
Europe,Ireland,January,Winter,Other Units of the Federation,Land,2009,7,29600,4062235
Europe,Austria,January,Winter,Other Units of the Federation,Land,2009,2,30000,8192880
Europe,Denmark,January,Winter,Other Units of the Federation,Land,2009,2,31100,5450661
Europe,Switzerland,January,Winter,Other Units of the Federation,Land,2009,17,32700,7523934
Europe,Norway,January,Winter,Other Units of the Federation,Land,2009,0,37800,4610820
Europe,Russia,January,Winter,Paraná,Land,2009,106,8900,142893540
Europe,Poland,January,Winter,Paraná,Land,2009,142,11100,38536869
Europe,Hungary,January,Winter,Paraná,Land,2009,96,13900,9981334
Europe,Czech Republic,January,Winter,Paraná,Land,2009,47,15700,10235455
Europe,Portugal,January,Winter,Paraná,Land,2009,71,18000,10605870
Europe,Greece,January,Winter,Paraná,Land,2009,36,20000,10688058
